 format: day,hour,value location:62_128 Start : 20220101 
 25, 0600, 89.000000 
 25, 0700, 71.000000 
 25, 0800, 0.000000 
 25, 0900, 253.000000 
 25, 1000, 239.000000 
 25, 1100, 198.000000 
 25, 1200, 231.000000 
 25, 1300, 148.000000 
 25, 1400, 295.000000 
 25, 1500, 353.000000 
 25, 1600, 103.000000 
 25, 1700, 67.000000 
 25, 1800, 66.000000 
 25, 1900, 72.000000 
 25, 2000, 65.000000 
 25, 2100, 70.000000 
 25, 2200, 74.000000 
 25, 2300, 63.000000 
 26, 0000, 67.000000 
 26, 0100, 225.000000 
 26, 0200, 316.000000 
 26, 0300, 326.000000 
 26, 0400, 278.000000 
 26, 0500, 323.000000 
 26, 0600, 262.000000 
 26, 0700, 266.000000 
 26, 0800, 277.000000 
 26, 0900, 248.000000 
 26, 1000, 281.000000 
 26, 1100, 39.000000 
 26, 1200, 50.000000 
 26, 1300, 32.000000 
 26, 1400, 74.000000 
 26, 1500, 69.000000 
 26, 1600, 81.000000 
 26, 1700, 72.000000 
 26, 1800, 61.000000 
 26, 1900, 72.000000 
 26, 2000, 61.000000 
 26, 2100, 72.000000 
 26, 2200, 86.000000 
 26, 2300, 67.000000 
 27, 0000, 195.000000 
 27, 0100, 179.000000 
 27, 0200, 262.000000 
 27, 0300, 219.000000 
 27, 0400, 294.000000 
 27, 0500, 250.000000 
 27, 0600, 259.000000 
 27, 0700, 260.000000 
 27, 0800, 254.000000 
 27, 0900, 256.000000 
 27, 1000, 259.000000 
 27, 1100, 79.000000 
 27, 1200, 346.000000 
 27, 1300, 8.000000 
 27, 1400, 321.000000 
 27, 1500, 62.000000 
 27, 1600, 77.000000 
 27, 1700, 62.000000 
 27, 1800, 80.000000 
 27, 1900, 66.000000 
 27, 2000, 79.000000 
 27, 2100, 101.000000 
 27, 2200, 72.000000 
 27, 2300, 90.000000 
 28, 0000, 289.000000 
 28, 0100, 246.000000 
 28, 0200, 240.000000 
 28, 0300, 95.000000 
 28, 0400, 271.000000 
 28, 0500, 259.000000 
 28, 0600, 266.000000 
 28, 0700, 283.000000 
 28, 0800, 301.000000 
 28, 0900, 289.000000 
 28, 1000, 265.000000 
 28, 1100, 316.000000 
 28, 1200, 339.000000 
 28, 1300, 266.000000 
 28, 1400, 24.000000 
 28, 1500, 76.000000 
 28, 1600, 340.000000 
 28, 1700, 51.000000 
 28, 1800, 64.000000 
 28, 1900, 65.000000 
 28, 2000, 72.000000 
 28, 2100, 66.000000 
 28, 2200, 70.000000 
 28, 2300, 73.000000 
 29, 0000, 7.000000 
 29, 0100, 300.000000 
 29, 0200, 254.000000 
 29, 0300, 258.000000 
 29, 0400, 269.000000 
 29, 0500, 304.000000 
 29, 0600, 254.000000 
 29, 0700, 278.000000 
 29, 0800, 264.000000 
 29, 0900, 57.000000 
 29, 1000, 57.000000 
 29, 1100, 65.000000 
 29, 1200, 52.000000 
 29, 1300, 346.000000 
 29, 1400, 73.000000 
 29, 1500, 58.000000 
 29, 1600, 59.000000 
 29, 1700, 64.000000 
 29, 1800, 70.000000 
 29, 1900, 74.000000 
 29, 2000, 83.000000 
 29, 2100, 60.000000 
 29, 2200, 92.000000 
 29, 2300, 205.000000 
 30, 0000, 78.000000 
 30, 0100, 18.000000 
 30, 0200, 290.000000 
 30, 0300, 249.000000 
 30, 0400, 225.000000 
 30, 0500, 290.000000 
 30, 0600, 272.000000 
 30, 0700, 251.000000 
 30, 0800, 283.000000 
 30, 0900, 75.000000 
 30, 1000, 284.000000 
 30, 1100, 298.000000 
 30, 1200, 262.000000 
 30, 1300, 56.000000 
 30, 1400, 61.000000 
 30, 1500, 60.000000 
 30, 1600, 74.000000 
 30, 1700, 61.000000 
 30, 1800, 68.000000 
 30, 1900, 60.000000 
 30, 2000, 70.000000 
 30, 2100, 71.000000 
 30, 2200, 59.000000 
 30, 2300, 72.000000 
 31, 0000, 71.000000 
 31, 0100, 87.000000 
 31, 0200, 162.000000 
 31, 0300, 182.000000 
 31, 0400, 244.000000 
 31, 0500, 258.000000 
 31, 0600, 270.000000 
 31, 0700, 265.000000 
 31, 0800, 151.000000 
 31, 0900, 56.000000 
 31, 1000, 60.000000 
 31, 1100, 55.000000 
 31, 1200, 86.000000 
 31, 1300, 0.000000 
 31, 1400, 262.000000 
 31, 1500, 257.000000 
 31, 1600, 243.000000 
 31, 1700, 254.000000 
 31, 1800, 261.000000 
 31, 1900, 127.000000 
 31, 2000, 79.000000 
 31, 2100, 257.000000 
 31, 2200, 63.000000 
 31, 2300, 36.000000 
 Start : 20220201 
 1, 0000, 268.000000 
 1, 0100, 303.000000 
 1, 0200, 273.000000 
 1, 0300, 271.000000 
 1, 0400, 263.000000 
 1, 0500, 282.000000 
 1, 0600, 251.000000 
 1, 0700, 252.000000 
 1, 0800, 267.000000 
 1, 0900, 249.000000 
 1, 1000, 272.000000 
 1, 1100, 265.000000 
 1, 1200, 329.000000 
 1, 1300, 296.000000 
 1, 1400, 279.000000 
 1, 1500, 255.000000 
 1, 1600, 267.000000 
 1, 1700, 274.000000 
 1, 1800, 251.000000 
 1, 1900, 64.000000 
 1, 2000, 76.000000 
 1, 2100, 77.000000 
 1, 2200, 72.000000 
 1, 2300, 80.000000 
 2, 0000, 330.000000 
 2, 0100, 240.000000 
 2, 0200, 296.000000 
 2, 0300, 260.000000 
 2, 0400, 286.000000 
 2, 0500, 277.000000 
 2, 0600, 289.000000 
 2, 0700, 281.000000 
 2, 0800, 288.000000 
 2, 0900, 257.000000 
 2, 1000, 244.000000 
 2, 1100, 325.000000 
 2, 1200, 247.000000 
 2, 1300, 64.000000 
 2, 1400, 52.000000 
 2, 1500, 50.000000 
 2, 1600, 68.000000 
 2, 1700, 61.000000 
 2, 1800, 69.000000 
 2, 1900, 79.000000 
 2, 2000, 65.000000 
 2, 2100, 73.000000 
 2, 2200, 63.000000 
 2, 2300, 78.000000 
 3, 0000, 296.000000 
 3, 0100, 330.000000 
 3, 0200, 254.000000 
 3, 0300, 219.000000 
 3, 0400, 7.000000 
 3, 0500, 254.000000 
 3, 0600, 266.000000 
 3, 0700, 291.000000 
 3, 0800, 288.000000 
 3, 0900, 327.000000 
 3, 1000, 78.000000 
 3, 1100, 271.000000 
 3, 1200, 286.000000 
 3, 1300, 47.000000 
 3, 1400, 62.000000 
 3, 1500, 67.000000 
 3, 1600, 76.000000 
 3, 1700, 63.000000 
 3, 1800, 60.000000 
 3, 1900, 48.000000 
 3, 2000, 67.000000 
 3, 2100, 63.000000 
 3, 2200, 75.000000 
 3, 2300, 84.000000 
 4, 0000, 278.000000 
 4, 0100, 275.000000 
 4, 0200, 279.000000 
 4, 0300, 266.000000 
 4, 0400, 267.000000 
 4, 0500, 308.000000 
 4, 0600, 288.000000 
 4, 0700, 285.000000 
 4, 0800, 282.000000 
 4, 0900, 271.000000 
 4, 1000, 276.000000 
 4, 1100, 270.000000 
 4, 1200, 275.000000 
 4, 1300, 274.000000 
 4, 1400, 78.000000 
 4, 1500, 51.000000 
 4, 1600, 90.000000 
 4, 1700, 83.000000 
 4, 1800, 70.000000 
 4, 1900, 274.000000 
 4, 2000, 263.000000 
 4, 2100, 281.000000 
 4, 2200, 304.000000 
 4, 2300, 265.000000 
 5, 0000, 279.000000 
 5, 0100, 280.000000 
 5, 0200, 286.000000 
 5, 0300, 292.000000 
 5, 0400, 277.000000 
 5, 0500, 258.000000 
 5, 0600, 268.000000 
 5, 0700, 267.000000 
 5, 0800, 286.000000 
 5, 0900, 257.000000 
 5, 1000, 263.000000 
 5, 1100, 273.000000 
 5, 1200, 256.000000 
 5, 1300, 68.000000 
 5, 1400, 64.000000 
 5, 1500, 71.000000 
 5, 1600, 63.000000 
 5, 1700, 53.000000 
 5, 1800, 75.000000 
 5, 1900, 64.000000 
 5, 2000, 73.000000 
 5, 2100, 81.000000 
 5, 2200, 60.000000 
 5, 2300, 75.000000 
 6, 0000, 76.000000 
 6, 0100, 253.000000 
 6, 0200, 273.000000 
 6, 0300, 304.000000 
 6, 0400, 266.000000 
 6, 0500, 258.000000 
 6, 0600, 271.000000 
 6, 0700, 260.000000 
 6, 0800, 259.000000 
 6, 0900, 259.000000 
 6, 1000, 280.000000 
 6, 1100, 297.000000 
 6, 1200, 279.000000 
 6, 1300, 318.000000 
 6, 1400, 13.000000 
 6, 1500, 66.000000 
 6, 1600, 51.000000 
 6, 1700, 65.000000 
 6, 1800, 68.000000 
 6, 1900, 63.000000 
 6, 2000, 78.000000 
 6, 2100, 89.000000 
 6, 2200, 67.000000 
 6, 2300, 70.000000 
 7, 0000, 44.000000 
 7, 0100, 302.000000 
 7, 0200, 270.000000 
 7, 0300, 130.000000 
 7, 0400, 316.000000 
 7, 0500, 319.000000 
 7, 0600, 342.000000 
 7, 0700, 263.000000 
 7, 0800, 352.000000 
 7, 0900, 268.000000 
 7, 1000, 267.000000 
 7, 1100, 6.000000 
 7, 1200, 69.000000 
